   0.148395431041717529E+001   0.158314515845543191E+002   0.251919839446561988E+000   0.312809467315673828E+000   0.742352306842803955E+000   0.139593601612883855E+001   0.118502955744337868E+001   0.679576039314270020E+001   0.749141156673431396E+000   0.171057752796948681E+001   0.835712152754203408E+000  -0.982316654027345269E+090  -0.460515351937698814E+001    1
   0.191603541374206543E+001   0.111816158029602057E+002   0.398456943807560027E+000   0.896518230438232422E-001   0.382449686527252197E+000   0.160341491129573321E+001   0.608797876178057251E+000   0.696936178207397461E+001   0.171567082405090332E+000   0.161234055417965871E+001   0.766167414748148090E+000  -0.952897782050753972E+090  -0.461515351937698259E+001    1
   0.228150320053100586E+001   0.122549243169049547E+002   0.388905772704246755E+000   0.576089382171630859E+000   0.733171045780181885E+000   0.140962057514140549E+001   0.555527809220233149E-001   0.630556678771972656E+001   0.570000290870666504E+000   0.277391524696545311E+001   0.974324132305241508E+000  -0.931585107559900069E+090  -0.462515351937698149E+001    1
   0.143806397914886475E+001   0.152985968615275105E+002   0.332010247085580856E+000   0.179331898689270020E-001   0.375911593437194824E+000   0.130715359664810138E+001   0.137273594421353784E+001   0.645946574211120605E+001   0.282139122486114502E+000   0.200577284127475908E+001   0.662853565254481691E+000  -0.906595900053395334E+090  -0.463515351937698661E+001    1
   0.197226417064666748E+001   0.149931362626388456E+002   0.316145901372676230E+000   0.160706758499145508E+000  -0.962777137756347656E-001   0.131763107621592179E+001   0.142204485033311334E+001   0.649004578590393066E+001   0.234465897083282471E+000   0.308323936240591712E+001   0.113444451862489692E+000  -0.901168780049077390E+090  -0.464515351937698728E+001    1
   0.177368986606597900E+001   0.952263011339574916E+001   0.480922564646560025E+000   0.802412986755371094E+000   0.459954380989074707E+000   0.116006342260608508E+001   0.277076309706171753E+000   0.694828867912292480E+001   0.302140951156616211E+000   0.267499251788624237E+001   0.293614540075563812E+000  -0.726671833944652878E+090  -0.465515351937698174E+001    1
   0.165849936008453369E+001   0.119182812646389102E+002   0.404529430256034106E+000   0.506994128227233887E-001   0.740775942802429199E+000   0.209700748959479011E+001   0.637912801571564464E-001   0.640817427635192871E+001   0.634345114231109619E+000   0.234577248802283744E+001   0.482910521927309877E+000  -0.663735762401331153E+090  -0.466515351937698153E+001    1
   0.248072159290313721E+001   0.142610396207059189E+002   0.297674497018827311E+000   0.776959896087646484E+000   0.364854693412780762E+000   0.952986724074448732E+000   0.109659122074024329E+001   0.591896533966064453E+001   0.551857411861419678E+000   0.193384724140488418E+001   0.124392509447318292E+000  -0.646043059072116666E+090  -0.467515351937698398E+001    1
   0.162176036834716797E+001   0.101489073729510793E+002   0.190555849407937961E+000   0.473789155483245850E+000   0.155898571014404297E+000   0.457962340621970332E+000   0.682674256100099575E+000   0.612498521804809570E+001   0.859559774398803711E-001   0.188474772467070006E+001   0.786951618550805164E-002  -0.642281592713809132E+090  -0.468515351937698377E+001    1
   0.172385323047637939E+001   0.980262531787948532E+001   0.187777729802505650E+000   0.878884673118591309E+000   0.418432176113128662E+000   0.138640106763902704E+000   0.919569238606995076E-001   0.653116941452026367E+001   0.728251338005065918E-001   0.183498411895987412E+001   0.245454621518789412E+000  -0.633680999480725849E+090  -0.469515351937698444E+001    1
